Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
CHEMBL2377621	71601847.0	SLC27A1	GuideToPharmacologyInteractions	COMPOUND 5K [PMID: 23528296]	CHEMBL2377621	Other	EXPERIMENTAL	-	-		SLC27A1
SWAINSONINE	51683.0	MAN2A1	DrugBank	SWAINSONINE	SWAINSONINE	alpha mannosidase inhibitor(Cmap)	EXPERIMENTAL	-	-	MAN2A1	
ITOPRIDE	3792.0	CHRM3|ACHE|DRD2	DrugBank	ITOPRIDE	ITOPRIDE	Hydrolases_Inhibitor(KEGG), dopamine receptor antagonist(Cmap)	CLINICAL_TRIALS	-	-	CHRM3|DRD2	ACHE
TRIBUTYRIN	6050.0	XRCC5|ANPEP|RARA|LDLR	NCI	TRIBUTYRIN	TRIBUTYRIN	HDAC inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		XRCC5|ANPEP|RARA|LDLR
18-HYDROXYASCOMYCIN	445642.0	CCR1	TTD	AZD4818	18-HYDROXYASCOMYCIN	Other	CLINICAL_TRIALS	-	-	CCR1	
CHEMBL460962	24856362.0	HSD11B1	DrugBank	1-{[(3R)-3-METHYL-4-({4-[(1S)-2,2,2-TRIFLUORO-1-HYDROXY-1-METHYLETHYL]PHENYL}SULFONYL)PIPERAZIN-1-YL]METHYL}CYCLOPROPANECARBOXAMIDE	CHEMBL460962	Other	EXPERIMENTAL	-	-	HSD11B1	
L-PROLINE	145742.0	PPIH|P3H1|PARS2|EPRS|PYCR2|PPIG|P3H2|PPIC|P4HA2|SLC6A7|PPIA|PLPBP|PYCR3|P4HA1|PPIF|P3H3|L3HYPDH|PPIB|PYCR1|PRODH|SLC6A14	DrugBank	L-PROLINE	L-PROLINE	glutamate receptor agonist(Cmap)	APPROVED	Nutraceutical	-	PPIH|P3H1|PARS2|EPRS|PYCR2|PPIG|P3H2|PPIC|P4HA2|SLC6A7|PPIA|PLPBP|PYCR3|P4HA1|PPIF|P3H3|L3HYPDH|PPIB|PYCR1|PRODH|SLC6A14	
[3H]MCH (HUMAN, MOUSE, RAT)	155817460.0	MCHR1	GuideToPharmacologyInteractions	[3H]MCH (HUMAN, MOUSE, RAT)	[3H]MCH (HUMAN, MOUSE, RAT)	Other	EXPERIMENTAL	-	-		MCHR1
AZD1480	16659841.0	JAK1|JAK2|RET|JAK3	GuideToPharmacologyInteractions	AZD1480	AZD1480	JAK inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	JAK1|JAK2	RET|JAK3
VERLUKAST	6509849.0	CYSLTR1	GuideToPharmacologyInteractions	VERLUKAST	VERLUKAST	Rhodopsin family_Antagonist(KEGG)	EXPERIMENTAL	-	-		CYSLTR1
PIMONIDAZOLE	50981.0	HIF1A	NCI	PIMONIDAZOLE	PIMONIDAZOLE	Other	CLINICAL_TRIALS	-	CANCER		HIF1A
DOLASTATIN 10	9810929.0	BCL2	NCI	DOLASTATIN 10	DOLASTATIN 10	Other	CLINICAL_TRIALS	-	CANCER		BCL2
SAXAGLIPTIN HYDROCHLORIDE	49800073.0	DPP4	ChemblInteractions	SAXAGLIPTIN HYDROCHLORIDE	SAXAGLIPTIN HYDROCHLORIDE	Hydrolases_Inhibitor(KEGG)	APPROVED	Endocrinology	-		DPP4
2,2,2-TRIFLUOROETHANOL	6409.0	ADH1C|HRAS	DrugBank	TRIFLUOROETHANOL	2,2,2-TRIFLUOROETHANOL	Other	EXPERIMENTAL	-	-	ADH1C|HRAS	
DESMETHYLASTEMIZOLE	155805.0	KCNH2	PharmGKB	DESMETHYLASTEMIZOLE	DESMETHYLASTEMIZOLE	Other	EXPERIMENTAL	-	-		KCNH2
MOLINDONE HYDROCHLORIDE	9883259.0	DRD2|HTR2A	ChemblInteractions	MOLINDONE HYDROCHLORIDE	MOLINDONE HYDROCHLORIDE	Rhodopsin family_Antagonist(KEGG)	APPROVED	Psychiatry/Psychology	-		DRD2|HTR2A
CGS 21680	3086599.0	ADORA3|ADORA1|ADORA2B|ADORA2A	GuideToPharmacologyInteractions	CGS 21680	CGS 21680	Other	EXPERIMENTAL	-	-		ADORA3|ADORA1|ADORA2B|ADORA2A
5,6-DIHYDROXYINDOLE	114683.0	LTF	DrugBank	3H-INDOLE-5,6-DIOL	5,6-DIHYDROXYINDOLE	Other	EXPERIMENTAL	-	-	LTF	
PIFITHRIN-ALPHA	9929138.0	ADK|CHD9|CREBBP|GHR|KAT6B|PRKCB|ZNF643	CTRP	PIFITHRIN-ALPHA	PIFITHRIN-ALPHA	TP53 inhibitor(Cmap)	EXPERIMENTAL	-	-		ADK|CHD9|CREBBP|GHR|KAT6B|PRKCB|ZNF643
GRAPIPRANT	11677589.0	PTGER4	GuideToPharmacologyInteractions	GRAPIPRANT	GRAPIPRANT	Rhodopsin family_Antagonist(KEGG), prostaglandin inhibitor(Cmap)	EXPERIMENTAL	-	-		PTGER4
GLUTATHIONE	124886.0	TXNDC12|GPX7|GSTM4|GSTM2|GSTM1|GSTM5|GSTM3|MGST3|GLRX2|GPX1|HPGDS|MGST2|GPX8|GLRX|GPX3|LTC4S|GPX6|GPX5|GLO1|GSTA2|GSTA1|GSTA5|GSTA3|GSTA4|GSTK1|GSR|GSTO1|GSTO2|GSTP1|MGST1|ESD|GPX2|GSTZ1|HAGH|GPX4|GSS|GGT1	DrugBank	GLUTATHIONE	GLUTATHIONE	antioxidant(Cmap)	APPROVED	Nutraceutical	CLINICAL CANCER	TXNDC12|GPX7|GSTM4|GSTM2|GSTM1|GSTM5|GSTM3|MGST3|GLRX2|GPX1|HPGDS|MGST2|GPX8|GLRX|GPX3|LTC4S|GPX6|GPX5|GLO1|GSTA2|GSTA1|GSTA5|GSTA3|GSTA4|GSTK1|GSR|GSTO1|GSTO2|GSTP1|MGST1|ESD|GPX2|GSTZ1|HAGH|GPX4|GSS|GGT1	
CORDYCEPIN	6303.0	GCG|DNTT	NCI	CORDYCEPIN	CORDYCEPIN	DNA inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		GCG|DNTT
396129-53-6	447966.0	TGFBR1	DrugBank	4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE	396129-53-6	Other	EXPERIMENTAL	-	-	TGFBR1	
TENOCYCLIDINE	62751.0	GRIN3A|GRIN2B|CHRNA7|GRIN2A|GRIN2C|GRIN3B|GRIN2D	DrugBank	TENOCYCLIDINE	TENOCYCLIDINE	Other	EXPERIMENTAL	-	-	GRIN3A|GRIN2B|CHRNA7|GRIN2A|GRIN2C|GRIN3B|GRIN2D	
ACETALDEHYDE	177.0	TRPA1	GuideToPharmacologyInteractions	ACETALDEHYDE	ACETALDEHYDE	Other	EXPERIMENTAL	-	-		TRPA1
SAMIDORPHAN	11667832.0	OPRD1|OPRM1|OPRK1	TdgClinicalTrial	ALKS 33	SAMIDORPHAN	Other	CLINICAL_TRIALS	-	-		OPRD1|OPRM1|OPRK1
4-(2-AMINOETHYL)-2-CYCLOHEXYLPHENOL	24748051.0	BACE1	DrugBank	4-(2-AMINOETHYL)-2-CYCLOHEXYLPHENOL	4-(2-AMINOETHYL)-2-CYCLOHEXYLPHENOL	Other	EXPERIMENTAL	-	-	BACE1	
CARISOPRODOL	2576.0	CYP2C19	PharmGKB	CARISOPRODOL	CARISOPRODOL	acetylcholine receptor antagonist(Cmap)	APPROVED	Musculoskeletal | Pain management | Musculoskeletal	-		CYP2C19
LGD2941	16750192.0	AR	DrugBank	LGD2941	LGD2941	Other	EXPERIMENTAL	-	-	AR	
96020-91-6	441361.0	ODC1	ChemblInteractions	EFLORNITHINE HYDROCHLORIDE HYDRATE	96020-91-6	Other	EXPERIMENTAL	-	-		ODC1
MIROGABALIN BESYLATE	81689826.0	CACNA2D2|CACNA2D1	ChemblInteractions	MIROGABALIN BESYLATE	MIROGABALIN BESYLATE	Voltage-gated cation channels_Antagonist(KEGG)	EXPERIMENTAL	-	-		CACNA2D2|CACNA2D1
VORUCICLIB	67409219.0	BRAF|CDK4	CKB	VORUCICLIB	VORUCICLIB	Other	EXPERIMENTAL	-	-		BRAF|CDK4
TECADENOSON	158795.0	ADORA1	ChemblInteractions	TECADENOSON	TECADENOSON	Rhodopsin family_Agonist(KEGG)	CLINICAL_TRIALS	-	-	ADORA1	
ASP-ASN-ARG	145454362.0	ANXA5|GSTP1|CDK2	NCI	DNR	ASP-ASN-ARG	Other	CLINICAL_TRIALS	-	CANCER		ANXA5|GSTP1|CDK2
2-(BETA-D-GLUCOPYRANOSYL)-5-METHYL-1,3,4-OXADIAZOLE	657043.0	PYGM	DrugBank	2-(BETA-D-GLUCOPYRANOSYL)-5-METHYL-1,3,4-OXADIAZOLE	2-(BETA-D-GLUCOPYRANOSYL)-5-METHYL-1,3,4-OXADIAZOLE	Other	EXPERIMENTAL	-	-	PYGM	
MK-2206	24964624.0	AKT3|PIK3CA|PTEN|AKT1|CCNE1|AKT2|BAG6|RAPGEF2|RECQL4|RIPK4|RPGRIP1|TP53|WNK2|ADAM22|ADAMTSL3|CCND2|CHUK|CSNK1G3|EP300|EPHB6|EPO|ERN1|EXT1|FANCA|FOXO3|FSCB|GRK6|IDH2|ING1|KIAA2022|KSR2|LRP6|MAP2K4|MAPK4|MARK1|OR2L13|PARP1|PARP9|PIP4K2A|PPM1E|PRKD1|PRKG2|RASGRF1|RIPK2|SCYL3|SLC22A3|SLCO4A1|TAOK2|TRIB2|TRIO|UNC13C|ZNF423	ChemblInteractions	MK-2206	MK-2206	AKT inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	AKT1	AKT3|PIK3CA|PTEN|CCNE1|AKT2|BAG6|RAPGEF2|RECQL4|RIPK4|RPGRIP1|TP53|WNK2|ADAM22|ADAMTSL3|CCND2|CHUK|CSNK1G3|EP300|EPHB6|EPO|ERN1|EXT1|FANCA|FOXO3|FSCB|GRK6|IDH2|ING1|KIAA2022|KSR2|LRP6|MAP2K4|MAPK4|MARK1|OR2L13|PARP1|PARP9|PIP4K2A|PPM1E|PRKD1|PRKG2|RASGRF1|RIPK2|SCYL3|SLC22A3|SLCO4A1|TAOK2|TRIB2|TRIO|UNC13C|ZNF423
4-OXORETINOIC ACID	6437063.0	RORB	GuideToPharmacologyInteractions	ALL-TRANS-4-OXO-RETINOIC ACID	4-OXORETINOIC ACID	Other	EXPERIMENTAL	-	-		RORB
CHEMBL258040	10138993.0	CDK2	DrugBank	N-[5-(1,1-DIOXIDOISOTHIAZOLIDIN-2-YL)-1H-INDAZOL-3-YL]-2-(4-PIPERIDIN-1-YLPHENYL)ACETAMIDE	CHEMBL258040	Other	EXPERIMENTAL	-	-	CDK2	
PIRENZEPINE	4848.0	CHRM3|CHRM2|CHRM4|CHRM1|CHRM5	GuideToPharmacologyInteractions	PIRENZEPINE	PIRENZEPINE	Rhodopsin family_Antagonist(KEGG), acetylcholine receptor antagonist(Cmap)	CLINICAL_TRIALS	-	-	CHRM1	CHRM3|CHRM2|CHRM4|CHRM5
SERACTIDE ACETATE	118984407.0	MC2R	ChemblInteractions	SERACTIDE ACETATE	SERACTIDE ACETATE	Rhodopsin family_Agonist(KEGG)	EXPERIMENTAL	-	-		MC2R
CHEMBL591475	10158373.0	CASR	GuideToPharmacologyInteractions	ATF 936	CHEMBL591475	Other	EXPERIMENTAL	-	-		CASR
ETHOPROPAZINE HYDROCHLORIDE	122824.0	CHRM1	ChemblInteractions	ETHOPROPAZINE HYDROCHLORIDE	ETHOPROPAZINE HYDROCHLORIDE	Other	WITHDRAWN	-	-		CHRM1
2-PHENYLPROPYLAMINE	11398.0	TAAR1	GuideToPharmacologyInteractions	2-PHENYL-PROPYLAMINE	2-PHENYLPROPYLAMINE	Other	EXPERIMENTAL	-	-		TAAR1
SUFENTANIL	41693.0	OPRD1|OPRM1|OPRK1	TdgClinicalTrial	SUFENTANIL	SUFENTANIL	Rhodopsin family_Agonist(KEGG), opioid receptor modulator(Cmap)	APPROVED	Pain management	-	OPRM1	OPRD1|OPRK1
MEK INHIBITOR II	389898.0	MAP3K8|MAP2K1	GuideToPharmacologyInteractions	MEK INHIBITOR II	MEK INHIBITOR II	Other	EXPERIMENTAL	-	-		MAP3K8|MAP2K1
LYS[Z(NO2)]-LYS[Z(NO2)]	73755096.0	SLC15A2	GuideToPharmacologyInteractions	LYS[Z(NO2)]-LYS[Z(NO2)]	LYS[Z(NO2)]-LYS[Z(NO2)]	Other	EXPERIMENTAL	-	-		SLC15A2
METHIONINE BENZIMIDAZOLE 6	4329947.0	FPR1	GuideToPharmacologyInteractions	METHIONINE BENZIMIDAZOLE 6	METHIONINE BENZIMIDAZOLE 6	Other	EXPERIMENTAL	-	-		FPR1
BETAZOLE	7741.0	HRH2	TEND	BETAZOLE	BETAZOLE	histamine receptor agonist(Cmap)	WITHDRAWN	-	-	HRH2	
FUMARIC ACID	444972.0	IFNG	TTD	FUMARIC ACID	FUMARIC ACID	Other	CLINICAL_TRIALS	-	-	IFNG	
AS703569	11569967.0	AURKB|AURKC|AURKA	ChemblInteractions	CENISERTIB	AS703569	Other	CLINICAL_TRIALS	-	CANCER		AURKB|AURKC|AURKA
TRIFLUPROMAZINE HYDROCHLORIDE	66069.0	DRD2	ChemblInteractions	TRIFLUPROMAZINE HYDROCHLORIDE	TRIFLUPROMAZINE HYDROCHLORIDE	Rhodopsin family_Antagonist(KEGG)	WITHDRAWN	-	-		DRD2
EFLORNITHINE	3009.0	PLA2G2A|JUN|ODC1|ATF2|APC|MTAP|TGM2|XIAP	NCI	DIFLUOROMETHYLORNITHINE	EFLORNITHINE	ornithine decarboxylase inhibitor(Cmap)	APPROVED	Dermatology/Plastic surgery	CLINICAL CANCER	ODC1	PLA2G2A|JUN|ATF2|APC|MTAP|TGM2|XIAP
MELAGATRAN	183797.0	F2	GuideToPharmacologyInteractions	MELAGATRAN	MELAGATRAN	Hydrolases_Inhibitor(KEGG)	CLINICAL_TRIALS	-	-		F2
CDK1/5 INHIBITOR	438981.0	GSK3B|CDK5|CDK1	GuideToPharmacologyInteractions	CDK1/5 INHIBITOR	CDK1/5 INHIBITOR	Other	EXPERIMENTAL	-	-		GSK3B|CDK5|CDK1
CLOTRIMAZOLE	2812.0	NR1I3|TRPM8|NR1I2|ABCB1|CYP3A4|KCNN4|TRPM4|TRPM2	GuideToPharmacologyInteractions	CLOTRIMAZOLE	CLOTRIMAZOLE	cytochrome P450 inhibitor(Cmap), imidazoline receptor ligand(Cmap)	APPROVED	Immunology/Infectious disease | Obstetrics/Gynecology	-	CYP3A4|KCNN4	NR1I3|TRPM8|NR1I2|ABCB1|TRPM4|TRPM2
N8-[(2S)-3,3-DIMETHYLBUTAN-2-YL]-N2-[2-METHOXY-4-(1-METHYL-1H-PYRAZOL-4-YL)PHENYL]PYRIDO[3,4-D]PYRIMIDINE-2,8-DIAMINE	73386882.0	TTK	GuideToPharmacologyInteractions	COMPOUND 34H [PMID: 27055065]	N8-[(2S)-3,3-DIMETHYLBUTAN-2-YL]-N2-[2-METHOXY-4-(1-METHYL-1H-PYRAZOL-4-YL)PHENYL]PYRIDO[3,4-D]PYRIMIDINE-2,8-DIAMINE	Other	EXPERIMENTAL	-	-		TTK
ONDANSETRON HYDROCHLORIDE	68647.0	HTR3A	ChemblInteractions	ONDANSETRON HYDROCHLORIDE	ONDANSETRON HYDROCHLORIDE	Other	APPROVED	Gastroenterology | Oncology | Trauma/Emergency medicine	-		HTR3A
GSK-1838705A	25182616.0	RPS6KA1|ALK|IGF1R|INSR	GuideToPharmacologyInteractions	GSK-1838705A	GSK-1838705A	Other	EXPERIMENTAL	-	-		RPS6KA1|ALK|IGF1R|INSR
ZONAMPANEL	148200.0	GRIA2|GRIA1|GRIA4|GRIA3	ChemblInteractions	ZONAMPANEL	ZONAMPANEL	Glutamate-gated cation channels_Antagonist(KEGG)	EXPERIMENTAL	-	-		GRIA2|GRIA1|GRIA4|GRIA3
CD 437	135411.0	ATP13A5|CHD1|GNAS|HDLBP|LRGUK|STAT6|ATP10A|BCL2L1|BIRC6|BRSK2|CDH11|COL18A1|EGFR|ERCC2|FLI1|FLNB|HGF|JARID2|JUND|MAML2|MAP3K1|MARK4|MYT1|NIM1|NUP153|OMG|P4HB|PCDH15|PGAP3|PLEKHA5|RASA3|RB1|RHOA|SORL1|TAB1|TEK|TNFRSF12A|TTBK1|UBE2O|ZNF331	CTRP	CD-437	CD 437	Other	EXPERIMENTAL	-	-		ATP13A5|CHD1|GNAS|HDLBP|LRGUK|STAT6|ATP10A|BCL2L1|BIRC6|BRSK2|CDH11|COL18A1|EGFR|ERCC2|FLI1|FLNB|HGF|JARID2|JUND|MAML2|MAP3K1|MARK4|MYT1|NIM1|NUP153|OMG|P4HB|PCDH15|PGAP3|PLEKHA5|RASA3|RB1|RHOA|SORL1|TAB1|TEK|TNFRSF12A|TTBK1|UBE2O|ZNF331
(4Z)-6-BROMO-4-({[4-(PYRROLIDIN-1-YLMETHYL)PHENYL]AMINO}METHYLIDENE)ISOQUINOLINE-1,3(2H,4H)-DIONE	135566395.0	IGF1R	DrugBank	(4Z)-6-BROMO-4-({[4-(PYRROLIDIN-1-YLMETHYL)PHENYL]AMINO}METHYLIDENE)ISOQUINOLINE-1,3(2H,4H)-DIONE	(4Z)-6-BROMO-4-({[4-(PYRROLIDIN-1-YLMETHYL)PHENYL]AMINO}METHYLIDENE)ISOQUINOLINE-1,3(2H,4H)-DIONE	Other	EXPERIMENTAL	-	-	IGF1R	
2-THENOYLTRIFLUOROACETONE	5601.0	SDHA|CES1	DrugBank	THENOYLTRIFLUOROACETONE	2-THENOYLTRIFLUOROACETONE	Other	EXPERIMENTAL	-	-	SDHA|CES1	
ZINC ION	32051.0	ALMS1|GPR39|GABRA2|GABRA4|GLRB|GLRA3|ADRB2|GABRA6|GABRA1|CLCN1|ASIC3|ASIC1|HVCN1|AKR1B1P4|GABRA5|TRPM1|ZACN|TRPM2|KCNJ4|GABRA3	GuideToPharmacologyInteractions	ZN2+	ZINC ION	Other	EXPERIMENTAL	-	-		ALMS1|GPR39|GABRA2|GABRA4|GLRB|GLRA3|ADRB2|GABRA6|GABRA1|CLCN1|ASIC3|ASIC1|HVCN1|AKR1B1P4|GABRA5|TRPM1|ZACN|TRPM2|KCNJ4|GABRA3
146062-49-9	10429242.0	PPARG	TdgClinicalTrial	MITOGLITAZONE	146062-49-9	Other	CLINICAL_TRIALS	-	-		PPARG
6508-43-6	3765615.0	ANXA5	GuideToPharmacologyInteractions	L-152,804	6508-43-6	Other	EXPERIMENTAL	-	-		ANXA5
CHEMBL113194	448969.0	HSP90AA1	DrugBank	9-BUTYL-8-(2,5-DIMETHOXY-BENZYL)-9H-PURIN-6-YLAMINE	CHEMBL113194	Other	EXPERIMENTAL	-	-	HSP90AA1	
CHLOROTRIANISENE	11289.0	ESR1|ESR2	TTD	CHLOROTRIANISENE	CHLOROTRIANISENE	estrogenic hormone(Cmap)	WITHDRAWN	-	-	ESR1	ESR2
TRICHLORMETHIAZIDE	5560.0	ATP1A1|CA1|CA2|KCNMA1|SLC12A1|SLC12A3|CA4	DrugBank	TRICHLORMETHIAZIDE	TRICHLORMETHIAZIDE	Solute carrier family_Inhibitor(KEGG), chloride channel blocker(Cmap)	WITHDRAWN	-	-	ATP1A1|CA1|CA2|KCNMA1|SLC12A1|CA4	SLC12A3
S-ETHYLISOTHIOUREA	5139.0	NOS3|NOS2	DrugBank	ETHYLISOTHIOUREA	S-ETHYLISOTHIOUREA	Other	EXPERIMENTAL	-	-	NOS3|NOS2	
NOSCAPINE	275196.0	HIF1A	TdgClinicalTrial	NOSCAPINE	NOSCAPINE	bradykinin receptor antagonist(Cmap), tubulin polymerization inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		HIF1A
AFATINIB	10184653.0	NRAS|EML4|ERBB4|EGFR|MET|BRAF|NRG1|KRAS|ERBB3|ERBB2|CDK12|MED24	CKB	AFATINIB	AFATINIB	Receptor tyrosine kinase_Inhibitor(KEGG), EGFR inhibitor(Cmap)	APPROVED	Oncology	LUNG	ERBB4|EGFR|ERBB2	NRAS|EML4|MET|BRAF|NRG1|KRAS|ERBB3|CDK12|MED24
CAFFEINE CITRATE	6241.0	ADORA3|ADORA1|ADORA2B|ADORA2A	ChemblInteractions	CAFFEINE, CITRATED	CAFFEINE CITRATE	Rhodopsin family_Antagonist(KEGG), Hydrolases_Inhibitor(KEGG)	APPROVED	Pulmonary/Respiratory disease	-		ADORA3|ADORA1|ADORA2B|ADORA2A
BETA-LAPACHONE	3885.0	ANXA5|TNF|CDK2|BAX	NCI	BETA-LAPACHONE	BETA-LAPACHONE	topoisomerase inhibitor(Cmap)	EXPERIMENTAL	-	-		ANXA5|TNF|CDK2|BAX
PRPP	7339.0	APRT|UCKL1|HPRT1	DrugBank	ALPHA-PHOSPHORIBOSYLPYROPHOSPHORIC ACID	PRPP	Other	EXPERIMENTAL	-	-	APRT|UCKL1|HPRT1	
BUFEXAMAC	2466.0	HDAC10|HDAC6	GuideToPharmacologyInteractions	BUFEXAMAC	BUFEXAMAC	cyclooxygenase inhibitor(Cmap)	EXPERIMENTAL	-	-		HDAC10|HDAC6
DESLORELIN	25077495.0	GNRHR	GuideToPharmacologyInteractions	DESLORELIN	DESLORELIN	Rhodopsin family_Agonist(KEGG)	CLINICAL_TRIALS	-	-		GNRHR
SERLOPITANT	23653789.0	SPR|TACR1	ChemblInteractions	SERLOPITANT	SERLOPITANT	Rhodopsin family_Antagonist(KEGG)	EXPERIMENTAL	-	-		SPR|TACR1
PRIMAQUINE	4908.0	CYP1A2|E2F1|G6PD	NCI	PRIMAQUINE	PRIMAQUINE	antimalarial agent(Cmap), DNA inhibitor(Cmap)	APPROVED	Immunology/Infectious disease	-		CYP1A2|E2F1|G6PD
GO 6976	3501.0	JAK2|PRKD1|PRKCA	CKB	GO 6976	GO 6976	Other	EXPERIMENTAL	-	-		JAK2|PRKD1|PRKCA
301836-41-9	4521392.0	ACVR1C|TGFBR1	GuideToPharmacologyInteractions	SB-431542	301836-41-9	Other	EXPERIMENTAL	-	-		ACVR1C|TGFBR1
CALCIUM GLUCONATE	9290.0	PRL|PTH|CTSC|CEACAM5	NCI	CALCIUM GLUCONATE	CALCIUM GLUCONATE	Other	APPROVED	Nutraceutical | Hematology	-		PRL|PTH|CTSC|CEACAM5
IVABRADINE HYDROCHLORIDE	3045381.0	HCN4	ChemblInteractions	IVABRADINE HYDROCHLORIDE	IVABRADINE HYDROCHLORIDE	Other	APPROVED	Cardiology/Vascular disease	-		HCN4
DEOXYCORTICOSTERONE ACETATE	5952.0	NR3C2	ChemblInteractions	DESOXYCORTICOSTERONE ACETATE	DEOXYCORTICOSTERONE ACETATE	Other	WITHDRAWN	-	-		NR3C2
CALCITRIOL	5280453.0	CDA|IL2|MYC|TG|PLAU|VDR|BTF3P11|GDF15|PHEX	DrugBank	DN-101	CALCITRIOL	Thyroid hormone like receptors_Agonist(KEGG), vitamin D receptor agonist(Cmap)	APPROVED	Nephrology/Urology | Endocrinology | Dermatology/Plastic surgery	CLINICAL CANCER	CDA|VDR	IL2|MYC|TG|PLAU|BTF3P11|GDF15|PHEX
GSK2126458	25167777.0	PIK3CD|MTOR|PIK3R3|NRAS|AKT3|PIK3R4|PIK3CB|PIK3CA|PIK3R1|PIK3CG|BRAF|GNAQ|PTEN|AKT1|MAP2K1|PIK3R6|PIK3R5|PIK3R2|AKT2	ChemblInteractions	OMIPALISIB	GSK2126458	mTOR inhibitor(Cmap), PI3K inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	PIK3CD|PIK3CB|PIK3CA|PIK3R1|PIK3R2	MTOR|PIK3R3|NRAS|AKT3|PIK3R4|PIK3CG|BRAF|GNAQ|PTEN|AKT1|MAP2K1|PIK3R6|PIK3R5|AKT2
1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERIDIN-4-YL-3,4-DIHYDROQUINOLIN-2(1H)-ONE	447725.0	MAPK14	DrugBank	1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERIDIN-4-YL-3,4-DIHYDROQUINOLIN-2(1H)-ONE	1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERIDIN-4-YL-3,4-DIHYDROQUINOLIN-2(1H)-ONE	Other	EXPERIMENTAL	-	-	MAPK14	
LEVULINIC ACID	11579.0	ALAD	DrugBank	LAEVULINIC ACID	LEVULINIC ACID	Other	EXPERIMENTAL	-	-	ALAD	
(RS)-(TETRAZOL-5-YL)GLYCINE	126383.0	GRIN2B|GRIN2A|GRIN2C	GuideToPharmacologyInteractions	(RS)-(TETRAZOL-5-YL)GLYCINE	(RS)-(TETRAZOL-5-YL)GLYCINE	Other	EXPERIMENTAL	-	-		GRIN2B|GRIN2A|GRIN2C
BIOMOLKI2_000001	9902311.0	ALPK1|CRTC1|ERCC3|KPNA5|NBN|PAK4|PRCC|RECQL4|SIK2|SIX4|TG|THRAP3|TP53|ADAMTSL3|BMP4|BRD4|C9orf96|DAPK1|EGFR|FSCB|GPR112|HDAC4|INSRR|ITPR2|JAK1|LRRC7|PDCD11|RPS6KA2|TET2	CTRP	TGX-115	BIOMOLKI2_000001	Other	EXPERIMENTAL	-	-		ALPK1|CRTC1|ERCC3|KPNA5|NBN|PAK4|PRCC|RECQL4|SIK2|SIX4|TG|THRAP3|TP53|ADAMTSL3|BMP4|BRD4|C9orf96|DAPK1|EGFR|FSCB|GPR112|HDAC4|INSRR|ITPR2|JAK1|LRRC7|PDCD11|RPS6KA2|TET2
GALANIN(1-16) (RAT/MOUSE/PIG)	16133822.0	GALR2|GALR1|GALR3	GuideToPharmacologyInteractions	GALANIN(1-16) (RAT/MOUSE/PIG)	GALANIN(1-16) (RAT/MOUSE/PIG)	Other	EXPERIMENTAL	-	-		GALR2|GALR1|GALR3
CEP-32496	56846693.0	RAF1|EGFR|BRAF|RET	GuideToPharmacologyInteractions	CEP-32496	CEP-32496	RAF inhibitor(Cmap)	EXPERIMENTAL	-	-		RAF1|EGFR|BRAF|RET
UNII-2MJR9U535E	1402479.0	BAX	NCI	NFX	UNII-2MJR9U535E	Other	EXPERIMENTAL	-	-		BAX
AMILORIDE	16231.0	SCNN1D|TRPC7|ASIC3|PKD2L1|KCNJ5|SCNN1A|ASIC1|SCNN1G|SCNN1B|SLC9A5|ASGR1|TRPV2|ASIC2	TEND	AMILORIDE	AMILORIDE	Epithelial and related channels_blocker(KEGG), sodium channel blocker(Cmap)	APPROVED	Cardiology/Vascular disease	-	SCNN1D|SCNN1A|SCNN1G|SCNN1B	TRPC7|ASIC3|PKD2L1|KCNJ5|ASIC1|SLC9A5|ASGR1|TRPV2|ASIC2
TIPIFARNIB	159324.0	CDKN1A|FNTA|HRAS|FNTB|NF1|ERBB2|LATS1	NCI	R115777	TIPIFARNIB	Transferases_Inhibitor(KEGG), farnesyltransferase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	FNTA|FNTB	CDKN1A|HRAS|NF1|ERBB2|LATS1
BRETYLIUM	2431.0	ATP1A1	DrugBank	BRETYLIUM	BRETYLIUM	norepinephrine inhibitor(Cmap)	WITHDRAWN	-	-	ATP1A1	
POLMACOXIB	9841854.0	PTGS2|CA1|CA2	ChemblInteractions	POLMACOXIB	POLMACOXIB	Oxidoreductases_Inhibitor(KEGG)	CLINICAL_TRIALS	-	-		PTGS2|CA1|CA2
